3591;Angra dos Reis
3592;Aperibé
3593;Araruama
3594;Areal
3595;Armação dos Búzios
3596;Arraial do Cabo
3597;Barra do Piraí
3598;Barra Mansa
3599;Belford Roxo
3600;Bom Jardim
3601;Bom Jesus do Itabapoana
3602;Cabo Frio
3603;Cachoeiras de Macacu
3604;Cambuci
3605;Campos dos Goytacazes
3606;Cantagalo
3607;Carapebus
3608;Cardoso Moreira
3609;Carmo
3610;Casimiro de Abreu
3611;Comendador Levy Gasparian
3612;Conceição de Macabu
3613;Cordeiro
3614;Duas Barras
3615;Duque de Caxias
3616;Engenheiro Paulo de Frontin
3617;Guapimirim
3618;Iguaba Grande
3619;Itaboraí
3620;Itaguaí
3621;Italva
3622;Itaocara
3623;Itaperuna
3624;Itatiaia
3625;Japeri
3626;Laje do Muriaé
3627;Macaé
3628;Macuco
3629;Magé
3630;Mangaratiba
3631;Maricá
3632;Mendes
3633;Mesquita
3634;Miguel Pereira
3635;Miracema
3636;Natividade
3637;Nilópolis
3638;Niterói
3639;Nova Friburgo
3640;Nova Iguaçu
3641;Paracambi
3642;Paraíba do Sul
3643;Parati
3644;Paty do Alferes
3645;Petrópolis
3646;Pinheiral
3647;Piraí
3648;Porciúncula
3649;Porto Real
3650;Quatis
3651;Queimados
3652;Quissamã
3653;Resende
3654;Rio Bonito
3655;Rio Claro
3656;Rio das Flores
3657;Rio das Ostras
3658;Rio de Janeiro
3659;Santa Maria Madalena
3660;Santo Antônio de Pádua
3661;São Fidélis
3662;São Francisco de Itabapoana
3663;São Gonçalo
3664;São João da Barra
3665;São João de Meriti
3666;São José de Ubá
3667;São José do Vale do Rio Pret
3668;São Pedro da Aldeia
3669;São Sebastião do Alto
3670;Sapucaia
3671;Saquarema
3672;Seropédica
3673;Silva Jardim
3674;Sumidouro
3675;Tanguá
3676;Teresópolis
3677;Trajano de Morais
3678;Três Rios
3679;Valença
3680;Varre-Sai
3681;Vassouras
3682;Volta Redonda
